line,size,line_impedance,line_length
6035,200,0.69,0.35
6036,142,0.62,0.11
6037,173,0.31,0.26
6038,182,0.25,0.2
6039,81,0.37,0.34
6040,58,0.66,0.29
6041,178,0.22,0.15
6042,72,0.3,0.3
6043,27,0.46,0.23
6044,180,0.61,0.35
6045,49,0.27,0.3
6046,38,0.64,0.16
6047,160,0.49,0.31
6048,95,0.29,0.23
6049,186,0.63,0.32
6050,171,0.33,0.13
6051,140,0.58,0.32
6052,109,0.54,0.3
6053,102,0.73,0.37
6054,187,0.56,0.36
6055,107,0.47,0.35
6056,77,0.35,0.17
6057,75,0.34,0.27
6058,75,0.67,0.36
6059,163,0.56,0.3
6060,128,0.54,0.35
6061,142,0.78,0.34
6062,61,0.65,0.17
6063,191,0.56,0.38
6064,40,0.39,0.26
6065,191,0.67,0.25
6066,147,0.46,0.2
6067,117,0.38,0.31
6068,20,0.36,0.25
6069,175,0.72,0.28
6070,50,0.23,0.14
6071,138,0.31,0.22
6072,199,0.3,0.25
6073,200,0.24,0.12
6074,160,0.21,0.34
6075,147,0.51,0.25
6076,94,0.64,0.26
6077,145,0.52,0.36
6078,147,0.29,0.35
6079,67,0.77,0.27
6080,90,0.28,0.34
6081,129,0.22,0.2
6082,146,0.74,0.28
6083,120,0.37,0.36
6084,95,0.39,0.38
6085,92,0.61,0.19
6086,83,0.46,0.11
6087,39,0.67,0.34
6088,125,0.38,0.38
6089,48,0.39,0.24
6090,116,0.23,0.27
6091,175,0.34,0.34
6092,177,0.68,0.36
6093,101,0.8,0.31
6094,158,0.76,0.1
6095,80,0.33,0.16
6096,89,0.48,0.2
6097,55,0.5,0.35
6098,112,0.32,0.23
6099,192,0.69,0.25
6100,185,0.21,0.17
6101,79,0.43,0.3
6102,78,0.62,0.15
6103,55,0.36,0.28
6104,164,0.35,0.29
6105,102,0.35,0.37
6106,70,0.5,0.25
6107,182,0.79,0.35
6108,68,0.42,0.2
6109,27,0.39,0.25
6110,200,0.25,0.35
6111,43,0.38,0.17
6112,151,0.36,0.36
6113,112,0.25,0.26
6114,54,0.47,0.37
6115,93,0.22,0.23
6116,160,0.27,0.15
6117,182,0.41,0.29
6118,118,0.3,0.32
6119,166,0.28,0.18
6120,36,0.53,0.29
6121,160,0.43,0.16
6122,140,0.63,0.22
6123,194,0.28,0.22
6124,88,0.24,0.23
6125,131,0.4,0.25
6126,44,0.21,0.34
6127,185,0.25,0.3
6128,23,0.34,0.29
6129,121,0.46,0.13
6130,112,0.75,0.35
6131,189,0.75,0.14
6132,38,0.51,0.36
6133,49,0.47,0.23
6134,159,0.21,0.24
6135,43,0.59,0.25
6136,98,0.26,0.18
6137,177,0.33,0.17
6138,178,0.27,0.39
6139,155,0.61,0.24
6140,193,0.34,0.13
6141,37,0.58,0.37
6142,39,0.72,0.19
6143,42,0.7,0.31
6144,89,0.29,0.25
6145,24,0.62,0.38
6146,94,0.24,0.12
6147,87,0.58,0.36
6148,155,0.57,0.26
6149,74,0.57,0.36
6150,176,0.68,0.16
6151,129,0.74,0.29
6152,97,0.7,0.17
6153,177,0.55,0.27
6154,25,0.71,0.39
6155,158,0.58,0.36
6156,99,0.74,0.31
6157,78,0.51,0.39
6158,136,0.66,0.3
6159,131,0.71,0.12
6160,25,0.79,0.16
6161,182,0.56,0.17
6162,32,0.27,0.24
6163,93,0.73,0.39
6164,126,0.27,0.35
6165,80,0.22,0.24
6166,154,0.54,0.16
6167,55,0.49,0.26
6168,32,0.24,0.21
6169,77,0.62,0.29
6170,158,0.55,0.27
6171,182,0.71,0.29
6172,33,0.55,0.17
6173,147,0.35,0.2
6174,138,0.63,0.29
6175,185,0.34,0.25
6176,41,0.32,0.21
6177,31,0.75,0.36
6178,95,0.47,0.27
6179,196,0.47,0.33
6180,168,0.64,0.39
6181,173,0.23,0.19
6182,196,0.52,0.27
6183,28,0.51,0.38
6184,126,0.32,0.24
6185,90,0.52,0.27
6186,144,0.39,0.23
6187,194,0.49,0.38
6188,188,0.26,0.23
6189,84,0.32,0.36
6190,57,0.54,0.15
6191,63,0.48,0.29
6192,123,0.72,0.18
6193,34,0.32,0.38
6194,146,0.49,0.39
6195,167,0.45,0.14
6196,25,0.61,0.22
6197,110,0.36,0.13
6198,79,0.76,0.25
6199,28,0.26,0.38
6200,71,0.56,0.3
6201,134,0.61,0.3
6202,131,0.73,0.18
6203,84,0.72,0.13
6204,67,0.6,0.28
6205,117,0.21,0.13
6206,38,0.24,0.11
6207,149,0.72,0.35
6208,37,0.58,0.38
6209,166,0.34,0.22
6210,160,0.58,0.27
6211,56,0.32,0.18
6212,74,0.58,0.39
6213,60,0.7,0.23
6214,169,0.74,0.2
6215,99,0.29,0.22
6216,149,0.63,0.25
6217,125,0.46,0.1
6218,155,0.58,0.2
6219,199,0.42,0.22
6220,158,0.69,0.34
6221,170,0.39,0.13
6222,117,0.57,0.19
6223,32,0.67,0.38
6224,133,0.47,0.37
6225,150,0.58,0.3
6226,182,0.26,0.35
6227,200,0.28,0.29
6228,156,0.47,0.22
6229,59,0.32,0.15
6230,96,0.27,0.27
6231,55,0.22,0.25
6232,185,0.73,0.24
6233,90,0.28,0.34
6234,172,0.57,0.25
6235,28,0.3,0.25
6236,94,0.78,0.12
6237,86,0.37,0.29
6238,101,0.76,0.25
6239,55,0.46,0.28
6240,102,0.52,0.35
6241,37,0.28,0.25
6242,107,0.55,0.14
6243,57,0.58,0.29
6244,117,0.35,0.36
6245,198,0.5,0.22
6246,197,0.31,0.26
6247,96,0.65,0.23
6248,60,0.57,0.2
6249,109,0.28,0.35
6250,168,0.7,0.26
6251,162,0.47,0.37
6252,181,0.3,0.19
6253,27,0.56,0.31
6254,160,0.47,0.35
6255,54,0.71,0.29
6256,150,0.5,0.35
6257,98,0.28,0.35
6258,155,0.44,0.3
6259,178,0.78,0.11
6260,49,0.68,0.33
6261,134,0.75,0.26
6262,59,0.69,0.34
6263,57,0.67,0.34
6264,183,0.2,0.2
6265,25,0.75,0.13
6266,51,0.59,0.39
6267,198,0.31,0.26
6268,58,0.46,0.22
6269,175,0.59,0.22
6270,35,0.43,0.1
6271,145,0.34,0.15
6272,169,0.64,0.24
6273,193,0.38,0.13
6274,64,0.45,0.38
6275,177,0.27,0.24
6276,163,0.36,0.37
6277,164,0.34,0.34
6278,75,0.22,0.12
6279,99,0.67,0.33
6280,107,0.55,0.22
6281,176,0.54,0.35
6282,21,0.28,0.18
6283,81,0.31,0.23
6284,154,0.25,0.19
6285,143,0.53,0.13
6286,143,0.77,0.17
6287,182,0.64,0.31
6288,42,0.57,0.26
6289,39,0.71,0.36
6290,20,0.7,0.32
6291,136,0.37,0.23
6292,91,0.48,0.27
6293,125,0.39,0.38
6294,165,0.53,0.11
6295,74,0.67,0.33
6296,150,0.38,0.33
6297,189,0.71,0.14
6298,175,0.35,0.38
6299,179,0.39,0.16
6300,41,0.65,0.12
6301,63,0.72,0.16
6302,134,0.23,0.33
6303,143,0.59,0.13
6304,70,0.53,0.3
6305,177,0.21,0.13
6306,80,0.71,0.31
6307,190,0.76,0.31
6308,132,0.52,0.28
6309,106,0.67,0.24
6310,116,0.58,0.29
6311,66,0.35,0.24
6312,113,0.76,0.13
6313,111,0.38,0.38
6314,187,0.73,0.36
6315,172,0.72,0.33
6316,65,0.5,0.23
6317,85,0.33,0.36
6318,112,0.35,0.4
6319,148,0.62,0.29
6320,149,0.38,0.21
6321,65,0.36,0.14
6322,120,0.79,0.15
6323,35,0.25,0.17
6324,57,0.3,0.13
6325,143,0.34,0.33
6326,45,0.34,0.36
6327,66,0.64,0.19
6328,194,0.27,0.3
6329,143,0.65,0.13
6330,102,0.25,0.22
6331,130,0.44,0.2
6332,46,0.65,0.37
6333,73,0.2,0.25
6334,142,0.21,0.33
6335,146,0.69,0.16
6336,93,0.4,0.14
6337,139,0.27,0.31
6338,100,0.75,0.25
6339,94,0.73,0.32
6340,123,0.78,0.22
6341,66,0.43,0.29
6342,22,0.69,0.25
6343,187,0.45,0.3
6344,63,0.31,0.21
6345,165,0.23,0.19
6346,32,0.49,0.2
6347,63,0.77,0.39
6348,69,0.66,0.38
6349,84,0.36,0.3
6350,127,0.4,0.11
6351,125,0.35,0.28
6352,100,0.27,0.24
6353,75,0.6,0.31
6354,177,0.53,0.24
6355,169,0.7,0.4
6356,177,0.24,0.23
6357,147,0.78,0.26
6358,117,0.44,0.3
6359,92,0.28,0.18
6360,78,0.37,0.4
6361,159,0.55,0.39
6362,71,0.38,0.19
6363,133,0.25,0.24
6364,171,0.46,0.38
6365,165,0.8,0.36
6366,172,0.34,0.31
6367,41,0.41,0.28
6368,33,0.46,0.1
6369,117,0.24,0.1
6370,38,0.53,0.14
6371,167,0.22,0.21
6372,32,0.35,0.34
6373,35,0.38,0.27
6374,118,0.54,0.11
6375,56,0.6,0.28
6376,139,0.7,0.31
6377,92,0.7,0.22
6378,199,0.32,0.21
6379,101,0.29,0.1
6380,98,0.28,0.19
6381,93,0.75,0.26
6382,59,0.25,0.23
6383,37,0.59,0.15
6384,151,0.5,0.35
6385,192,0.66,0.27
6386,150,0.58,0.29
6387,53,0.68,0.36
6388,157,0.2,0.28
6389,185,0.47,0.36
6390,45,0.64,0.38
6391,61,0.44,0.18
6392,42,0.6,0.35
6393,172,0.54,0.27
6394,176,0.5,0.11
6395,62,0.39,0.16
6396,44,0.2,0.37
6397,78,0.46,0.28
6398,95,0.71,0.13
6399,176,0.78,0.36
6400,148,0.34,0.15
6401,200,0.29,0.18
6402,118,0.41,0.36
6403,173,0.74,0.18
6404,142,0.33,0.11
6405,181,0.33,0.15
6406,61,0.45,0.27
6407,111,0.4,0.35
6408,61,0.54,0.36
6409,193,0.69,0.24
6410,38,0.65,0.14
6411,165,0.48,0.28
6412,44,0.54,0.16
6413,189,0.73,0.35
6414,136,0.55,0.19
6415,133,0.54,0.29
6416,128,0.5,0.33
6417,198,0.28,0.23
6418,137,0.54,0.33
6419,145,0.34,0.36
6420,170,0.72,0.19
6421,177,0.52,0.31
6422,80,0.38,0.22
6423,24,0.29,0.12
6424,27,0.38,0.39
6425,145,0.38,0.17
6426,112,0.49,0.2
6427,123,0.54,0.31
6428,153,0.76,0.27
6429,78,0.38,0.39
6430,140,0.43,0.26
6431,143,0.27,0.36
6432,71,0.75,0.12
6433,145,0.21,0.13
6434,81,0.37,0.29
6435,24,0.57,0.13
6436,159,0.62,0.22
6437,45,0.43,0.29
6438,120,0.31,0.28
6439,58,0.37,0.36
6440,121,0.54,0.12
6441,176,0.25,0.2
6442,170,0.33,0.32
6443,168,0.42,0.33
6444,111,0.63,0.14
6445,119,0.69,0.13
6446,92,0.7,0.39
6447,171,0.56,0.3
6448,178,0.56,0.32
6449,123,0.45,0.28
6450,172,0.54,0.17
6451,38,0.21,0.12
6452,140,0.74,0.38
6453,133,0.57,0.1
6454,130,0.54,0.18
6455,111,0.71,0.32
6456,51,0.42,0.16
6457,97,0.74,0.37
6458,116,0.24,0.37
6459,149,0.78,0.23
6460,34,0.66,0.26
6461,163,0.66,0.27
6462,56,0.44,0.13
6463,22,0.31,0.32
6464,40,0.8,0.37
6465,44,0.37,0.38
6466,146,0.28,0.39
6467,181,0.32,0.35
6468,199,0.48,0.11
6469,186,0.46,0.11
6470,167,0.68,0.23
6471,75,0.5,0.2
6472,130,0.42,0.28
6473,53,0.55,0.19
6474,66,0.76,0.14
6475,55,0.41,0.37
6476,97,0.67,0.35
6477,118,0.58,0.19
6478,100,0.46,0.24
6479,124,0.42,0.33
6480,58,0.37,0.3
6481,74,0.57,0.35
6482,60,0.43,0.13
6483,170,0.52,0.33
6484,191,0.7,0.19
6485,188,0.78,0.28
6486,126,0.7,0.39
6487,114,0.51,0.36
6488,100,0.28,0.11
6489,189,0.77,0.11
6490,99,0.28,0.15
6491,23,0.63,0.18
6492,75,0.77,0.3
6493,115,0.43,0.27
6494,30,0.31,0.29
6495,113,0.61,0.16
6496,109,0.72,0.28
6497,144,0.69,0.15
6498,121,0.48,0.13
6499,158,0.24,0.37
6500,125,0.5,0.38
6501,67,0.78,0.15
6502,154,0.48,0.18
6503,72,0.4,0.14
6504,139,0.48,0.19
6505,28,0.78,0.37
6506,98,0.4,0.19
6507,90,0.47,0.34
6508,78,0.79,0.11
6509,156,0.59,0.16
6510,127,0.24,0.39
6511,63,0.64,0.18
6512,126,0.29,0.23
6513,158,0.79,0.27
6514,41,0.23,0.23
6515,182,0.79,0.12
6516,166,0.31,0.12
6517,41,0.34,0.12
6518,174,0.57,0.35
6519,96,0.25,0.34
6520,77,0.5,0.16
6521,29,0.73,0.2
6522,98,0.73,0.13
6523,140,0.43,0.17
6524,72,0.28,0.3
6525,142,0.25,0.38
6526,124,0.44,0.25
6527,44,0.58,0.26
6528,193,0.2,0.17
6529,187,0.77,0.35
6530,165,0.71,0.32
6531,69,0.67,0.25
6532,93,0.28,0.26
6533,97,0.61,0.36
6534,141,0.51,0.21
6535,144,0.2,0.31
6536,99,0.76,0.27
6537,98,0.26,0.35
6538,69,0.35,0.31
6539,46,0.34,0.31
6540,178,0.72,0.38
6541,194,0.63,0.34
6542,142,0.8,0.4
6543,198,0.74,0.39
6544,121,0.36,0.32
6545,128,0.72,0.34
6546,160,0.21,0.35
6547,185,0.53,0.17
6548,144,0.52,0.33
6549,100,0.46,0.18
6550,176,0.79,0.16
6551,172,0.45,0.15
6552,168,0.56,0.29
6553,27,0.3,0.27
6554,183,0.47,0.17
6555,86,0.8,0.17
6556,106,0.33,0.16
6557,137,0.79,0.16
6558,80,0.47,0.2
6559,178,0.66,0.36
6560,44,0.33,0.25
6561,80,0.2,0.23
6562,192,0.68,0.1
6563,171,0.61,0.29
6564,186,0.49,0.15
6565,127,0.71,0.24
6566,135,0.21,0.23
6567,52,0.79,0.21
6568,23,0.66,0.33
6569,181,0.55,0.32
6570,175,0.24,0.31
6571,167,0.6,0.1
6572,143,0.22,0.28
6573,59,0.22,0.37
6574,45,0.78,0.35
6575,70,0.3,0.21
6576,142,0.31,0.33
6577,200,0.69,0.29
6578,124,0.7,0.35
6579,143,0.42,0.39
6580,71,0.61,0.19
6581,51,0.73,0.39
6582,76,0.38,0.22
6583,143,0.21,0.3
6584,170,0.24,0.17
6585,145,0.72,0.32
6586,72,0.32,0.38
6587,131,0.33,0.39
6588,188,0.24,0.23
6589,25,0.39,0.22
6590,81,0.37,0.26
6591,172,0.43,0.38
6592,115,0.51,0.35
6593,73,0.5,0.35
6594,195,0.68,0.29
6595,154,0.75,0.39
6596,181,0.44,0.35
6597,65,0.53,0.31
6598,78,0.73,0.18
6599,161,0.69,0.37
6600,129,0.36,0.28
6601,111,0.53,0.19
6602,107,0.74,0.18
6603,119,0.25,0.22
6604,137,0.41,0.19
6605,167,0.77,0.29
6606,28,0.74,0.24
6607,21,0.3,0.27
6608,28,0.77,0.19
6609,155,0.63,0.26
6610,116,0.5,0.2
6611,61,0.62,0.27
6612,144,0.32,0.2
6613,186,0.69,0.13
6614,68,0.48,0.18
6615,132,0.38,0.39
6616,45,0.55,0.29
6617,167,0.21,0.25
6618,142,0.23,0.31
6619,134,0.59,0.16
6620,32,0.34,0.21
6621,80,0.71,0.34
6622,157,0.64,0.26
6623,119,0.65,0.4
6624,152,0.33,0.2
6625,58,0.27,0.16
6626,198,0.25,0.16
6627,46,0.72,0.23
6628,48,0.32,0.29
6629,115,0.63,0.16
6630,94,0.21,0.3
6631,98,0.65,0.27
6632,181,0.49,0.16
6633,187,0.51,0.1
6634,109,0.29,0.37
6635,166,0.29,0.27
6636,38,0.2,0.12
6637,83,0.32,0.23
6638,56,0.52,0.24
6639,42,0.36,0.34
6640,92,0.67,0.32
6641,104,0.76,0.17
6642,66,0.66,0.24
6643,36,0.36,0.16
6644,110,0.43,0.3
6645,149,0.36,0.2
6646,28,0.77,0.37
6647,98,0.56,0.29
6648,198,0.25,0.13
6649,106,0.55,0.3
6650,116,0.74,0.15
6651,49,0.48,0.3
6652,175,0.68,0.27
6653,133,0.3,0.22
6654,176,0.6,0.12
6655,198,0.27,0.29
6656,105,0.8,0.37
6657,50,0.55,0.21
6658,154,0.21,0.35
6659,90,0.28,0.14
6660,47,0.49,0.18
6661,117,0.2,0.15
6662,59,0.66,0.21
6663,193,0.66,0.2
6664,131,0.52,0.3
6665,85,0.42,0.12
6666,120,0.41,0.32
6667,160,0.3,0.17
6668,167,0.32,0.13
6669,196,0.27,0.15
6670,63,0.49,0.39
6671,193,0.38,0.15
6672,36,0.54,0.38
6673,194,0.53,0.17
6674,70,0.56,0.34
6675,189,0.36,0.34
6676,90,0.56,0.13
6677,110,0.58,0.19
6678,68,0.76,0.39
6679,198,0.58,0.39
6680,180,0.48,0.12
6681,149,0.63,0.36
6682,81,0.62,0.28
6683,161,0.44,0.36
6684,42,0.65,0.33
6685,181,0.54,0.29
6686,77,0.38,0.17
6687,81,0.35,0.22
6688,197,0.46,0.19
6689,125,0.68,0.16
6690,115,0.63,0.18
6691,55,0.22,0.29
6692,57,0.45,0.3
6693,32,0.66,0.39
6694,167,0.41,0.27
6695,187,0.41,0.2
6696,172,0.37,0.25
6697,194,0.37,0.21
6698,51,0.35,0.13
6699,177,0.59,0.29
6700,176,0.5,0.33
6701,146,0.38,0.34
6702,96,0.64,0.39
6703,71,0.5,0.35
6704,138,0.77,0.19
6705,71,0.48,0.35
6706,134,0.38,0.3
6707,22,0.55,0.14
6708,63,0.48,0.26
6709,165,0.62,0.12
6710,92,0.33,0.17
6711,161,0.41,0.17
6712,191,0.52,0.33
6713,29,0.54,0.16
6714,62,0.67,0.27
6715,194,0.67,0.26
6716,41,0.8,0.16
6717,43,0.64,0.4
6718,106,0.61,0.23
6719,148,0.69,0.2
6720,48,0.74,0.16
6721,129,0.42,0.4
6722,40,0.26,0.29
6723,73,0.57,0.11
6724,123,0.72,0.3
6725,59,0.58,0.31
6726,131,0.32,0.39
6727,45,0.5,0.32
6728,60,0.8,0.16
6729,83,0.35,0.12
6730,55,0.69,0.13
6731,168,0.53,0.22
6732,150,0.76,0.17
6733,160,0.27,0.27
6734,123,0.75,0.21
6735,191,0.3,0.24
6736,65,0.77,0.2
6737,90,0.25,0.14
6738,78,0.65,0.34
6739,50,0.53,0.12
6740,34,0.25,0.21
6741,26,0.57,0.18
6742,27,0.46,0.13
6743,175,0.41,0.35
6744,30,0.67,0.24
6745,183,0.59,0.31
6746,180,0.49,0.16
6747,92,0.39,0.21
6748,138,0.29,0.35
6749,36,0.74,0.17
6750,106,0.77,0.26
6751,172,0.2,0.19
6752,103,0.4,0.36
6753,60,0.74,0.16
6754,93,0.49,0.29
6755,69,0.43,0.37
6756,144,0.54,0.19
6757,113,0.21,0.27
6758,196,0.53,0.26
6759,81,0.38,0.18
6760,32,0.35,0.2
6761,145,0.34,0.32
6762,75,0.78,0.28
6763,62,0.58,0.28
6764,40,0.72,0.25
6765,93,0.53,0.35
6766,174,0.51,0.11
6767,55,0.7,0.21
6768,149,0.49,0.34
6769,127,0.62,0.22
6770,22,0.63,0.18
6771,197,0.69,0.38
6772,98,0.46,0.31
6773,38,0.34,0.38
6774,90,0.5,0.28
6775,128,0.59,0.35
6776,36,0.46,0.14
6777,200,0.56,0.2
6778,177,0.7,0.27
6779,189,0.76,0.34
6780,49,0.79,0.15
6781,48,0.63,0.37
6782,102,0.26,0.12
6783,159,0.44,0.29
6784,114,0.67,0.23
6785,49,0.36,0.17
6786,178,0.26,0.31
6787,130,0.69,0.31
6788,187,0.21,0.14
6789,184,0.24,0.24
6790,34,0.28,0.27
6791,121,0.45,0.16
6792,123,0.26,0.27
6793,39,0.54,0.33
6794,166,0.26,0.36
6795,190,0.45,0.11
6796,83,0.2,0.13
6797,92,0.3,0.14
6798,174,0.36,0.21
6799,171,0.73,0.28
6800,168,0.74,0.13
6801,164,0.59,0.13
6802,62,0.39,0.37
6803,176,0.52,0.13
6804,70,0.71,0.35
6805,94,0.75,0.11
6806,99,0.43,0.15
6807,118,0.41,0.27
6808,157,0.54,0.22
6809,153,0.58,0.2
6810,46,0.38,0.15
6811,156,0.68,0.22
6812,56,0.31,0.32
6813,37,0.62,0.33
6814,162,0.75,0.32
6815,36,0.53,0.3
6816,111,0.73,0.29
6817,136,0.33,0.35
6818,82,0.33,0.38
6819,159,0.76,0.26
6820,82,0.58,0.38
6821,111,0.68,0.31
6822,62,0.78,0.13
6823,177,0.26,0.22
6824,196,0.24,0.4
6825,178,0.24,0.22
6826,35,0.63,0.39
6827,186,0.57,0.16
6828,55,0.41,0.1
6829,187,0.29,0.31
6830,168,0.22,0.39
6831,55,0.42,0.18
6832,43,0.35,0.31
6833,163,0.78,0.21
6834,35,0.77,0.2
6835,77,0.64,0.4
6836,94,0.55,0.21
6837,151,0.75,0.3
6838,136,0.59,0.17
6839,78,0.54,0.25
6840,26,0.34,0.28
6841,98,0.52,0.36
6842,103,0.37,0.14
6843,45,0.79,0.15
6844,194,0.76,0.17
6845,176,0.59,0.34
6846,117,0.5,0.25
6847,183,0.57,0.21
6848,98,0.22,0.15
6849,78,0.25,0.17
6850,30,0.36,0.2
6851,92,0.5,0.2
6852,137,0.27,0.36
6853,23,0.47,0.17
6854,27,0.72,0.27
6855,30,0.56,0.13
6856,82,0.42,0.3
6857,163,0.77,0.15
6858,190,0.74,0.24
6859,71,0.28,0.15
6860,136,0.59,0.16
6861,26,0.5,0.31
6862,79,0.76,0.1
6863,100,0.37,0.14
6864,84,0.71,0.18
6865,89,0.53,0.19
6866,135,0.7,0.14
6867,106,0.53,0.21
6868,119,0.35,0.22
6869,177,0.79,0.31
6870,84,0.68,0.35
6871,184,0.51,0.25
6872,29,0.4,0.31
6873,116,0.76,0.38
6874,96,0.68,0.15
6875,44,0.35,0.18
6876,200,0.72,0.19
6877,52,0.36,0.12
6878,114,0.43,0.33
6879,125,0.67,0.12
6880,147,0.32,0.24
6881,184,0.48,0.25
6882,46,0.74,0.13
6883,133,0.37,0.22
6884,104,0.21,0.39
6885,60,0.35,0.37
6886,166,0.62,0.29
6887,123,0.59,0.21
6888,144,0.29,0.14
6889,197,0.25,0.14
6890,197,0.55,0.39
6891,66,0.33,0.24
6892,68,0.37,0.4
6893,161,0.23,0.38
6894,88,0.33,0.31
6895,88,0.6,0.14
6896,102,0.6,0.1
6897,177,0.61,0.17
6898,99,0.31,0.1
6899,195,0.27,0.29
6900,108,0.31,0.11
6901,183,0.58,0.31
6902,166,0.76,0.26
6903,125,0.36,0.24
6904,119,0.66,0.36
6905,81,0.55,0.16
6906,39,0.66,0.21
6907,133,0.51,0.39
6908,160,0.64,0.35
6909,135,0.43,0.11
6910,68,0.35,0.21
6911,80,0.6,0.35
6912,197,0.79,0.33
6913,175,0.65,0.35
6914,92,0.38,0.35
6915,61,0.75,0.21
6916,116,0.41,0.28
6917,82,0.45,0.35
6918,89,0.29,0.18
6919,172,0.78,0.15
6920,72,0.25,0.16
6921,101,0.38,0.16
6922,51,0.51,0.15
6923,182,0.45,0.24
6924,61,0.21,0.11
6925,32,0.59,0.17
6926,97,0.8,0.29
6927,39,0.41,0.14
6928,93,0.59,0.26
6929,42,0.2,0.15
6930,103,0.59,0.17
6931,42,0.78,0.2
6932,192,0.64,0.36
6933,86,0.38,0.29
6934,24,0.78,0.16
6935,187,0.74,0.27
6936,94,0.51,0.28
6937,149,0.79,0.33
6938,195,0.37,0.31
6939,175,0.27,0.35
6940,96,0.33,0.18
6941,24,0.76,0.11
6942,76,0.77,0.3
6943,55,0.53,0.24
6944,76,0.79,0.31
6945,88,0.24,0.33
6946,178,0.7,0.37
6947,156,0.57,0.39
6948,114,0.69,0.29
6949,142,0.55,0.25
6950,69,0.76,0.17
6951,142,0.7,0.37
6952,197,0.43,0.23
6953,179,0.53,0.34
6954,143,0.31,0.14
6955,120,0.67,0.29
6956,136,0.4,0.31
6957,40,0.6,0.32
6958,162,0.22,0.31
6959,132,0.65,0.25
6960,178,0.26,0.25
6961,93,0.45,0.29
6962,200,0.64,0.35
6963,46,0.44,0.33
6964,103,0.66,0.23
6965,192,0.74,0.25
6966,34,0.42,0.36
6967,156,0.38,0.33
6968,92,0.4,0.14
6969,41,0.66,0.23
6970,58,0.65,0.19
6971,89,0.56,0.24
6972,31,0.47,0.35
6973,166,0.24,0.23
6974,173,0.59,0.12
6975,33,0.36,0.14
6976,195,0.51,0.36
6977,21,0.22,0.35
6978,97,0.78,0.24
6979,135,0.62,0.31
6980,102,0.31,0.37
6981,118,0.21,0.16
6982,151,0.58,0.2
6983,95,0.7,0.12
6984,182,0.68,0.13
6985,28,0.54,0.19
6986,199,0.67,0.34
6987,147,0.49,0.26
6988,26,0.29,0.36
6989,40,0.26,0.18
6990,136,0.63,0.13
6991,107,0.28,0.37
6992,173,0.27,0.19
6993,110,0.46,0.33
6994,134,0.23,0.25
6995,52,0.75,0.26
6996,94,0.41,0.37
6997,193,0.8,0.1
6998,67,0.67,0.26
6999,55,0.4,0.34
7000,126,0.7,0.39
7001,131,0.58,0.13
7002,99,0.27,0.37
7003,96,0.75,0.17
7004,117,0.66,0.18
7005,185,0.62,0.15
7006,145,0.23,0.22
7007,148,0.33,0.22
7008,75,0.77,0.4
7009,141,0.4,0.39
7010,146,0.29,0.39
7011,59,0.33,0.21
7012,126,0.25,0.31
7013,36,0.41,0.33
7014,113,0.68,0.14
7015,80,0.57,0.38
7016,159,0.77,0.35
7017,137,0.72,0.27
7018,42,0.68,0.21
7019,48,0.35,0.37
7020,159,0.51,0.15
7021,115,0.4,0.24
7022,48,0.41,0.17
7023,141,0.41,0.13
7024,140,0.26,0.33
7025,67,0.74,0.24
7026,76,0.26,0.36
7027,150,0.44,0.23
7028,85,0.47,0.12
7029,176,0.49,0.13
7030,185,0.43,0.37
7031,97,0.73,0.37
7032,121,0.74,0.21
7033,59,0.61,0.11
7034,195,0.59,0.2
7035,148,0.76,0.26
7036,172,0.74,0.35
7037,115,0.65,0.11
7038,68,0.29,0.3
7039,38,0.76,0.25
7040,147,0.78,0.35
7041,82,0.29,0.24
7042,65,0.65,0.18
7043,127,0.57,0.35
7044,168,0.8,0.29
7045,73,0.59,0.11
7046,32,0.58,0.21
7047,192,0.31,0.21
7048,56,0.46,0.38
7049,40,0.63,0.18
7050,58,0.39,0.24
7051,47,0.51,0.37
7052,194,0.29,0.25
7053,172,0.76,0.16
7054,30,0.4,0.17
7055,198,0.32,0.28
7056,134,0.66,0.28
7057,55,0.28,0.36
7058,166,0.43,0.28
7059,114,0.48,0.11
7060,38,0.68,0.22
7061,68,0.73,0.18
7062,127,0.25,0.25
7063,63,0.7,0.16
7064,80,0.31,0.2
7065,191,0.26,0.4
7066,141,0.67,0.12
7067,50,0.79,0.26
7068,74,0.79,0.31
7069,102,0.54,0.3
7070,145,0.36,0.11
7071,59,0.37,0.19
7072,79,0.5,0.1
7073,110,0.71,0.24
7074,130,0.34,0.22
7075,49,0.28,0.35
7076,32,0.3,0.4
7077,171,0.33,0.28
7078,62,0.26,0.33
7079,166,0.2,0.3
7080,151,0.48,0.21
7081,36,0.46,0.26
7082,91,0.79,0.27
7083,54,0.32,0.37
7084,145,0.53,0.26
7085,90,0.6,0.2
7086,80,0.67,0.16
7087,95,0.49,0.22
7088,198,0.56,0.25
7089,73,0.73,0.23
7090,155,0.38,0.17
7091,148,0.34,0.33
7092,21,0.57,0.31
7093,162,0.47,0.1
7094,183,0.49,0.39
7095,139,0.23,0.11
7096,106,0.27,0.36
7097,105,0.39,0.2
7098,53,0.41,0.27
7099,160,0.69,0.26
7100,70,0.51,0.34
7101,95,0.6,0.35
7102,166,0.43,0.19
7103,97,0.61,0.19
7104,160,0.5,0.12
7105,162,0.75,0.21
7106,176,0.28,0.12
7107,91,0.24,0.3
7108,92,0.56,0.36
7109,172,0.78,0.25
